form	lemma	POS	morph
soumes	sosmetre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
si	si	ADVgen	DEGRE=-
couart	corir	VERcjg	|NOMB.=p||GENRE=m||CAS=n||DEGRE=p|
Et	et	CONcoo	MORPH=empty
nostre	nostre	DETpos	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
Sires	seignor	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
Dieus	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
si	si	ADVgen	DEGRE=-
aime	amer1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
mieuz	mieus	ADVgen	DEGRE=c
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
quart	cart	PROord	|NOMB.=s||GENRE=m||CAS=r|
Le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
servise	servise	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
dou	de+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
jone	juene	NOMcom	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
fait	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
dou	de+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
veilart	vieillart	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
Ne	ne2	CONcoo	MORPH=empty
dou	de+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
mavais	mauvais	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
ovrier	ovrier1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
commence	comencier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
trop	trop	ADVgen	DEGRE=-
tart	tart	ADVgen	|NOMB.=s||DEGRE=-|
.	.	PONfrt	MORPH=empty
On	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
doit	devoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
son	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
boen	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
point	point	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
bien	bien1	ADVgen	DEGRE=p
encomencier	encomencier	VERinf	MORPH=empty
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
plus	plus	ADVgen	DEGRE=-
tost	tost1	ADVgen	DEGRE=-
commence	comencier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
miez	mieus	ADVgen	MORPH=empty
desert	desert2	ADJqua	|NOMB.=s||GENRE=m||CAS=r|
son	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
lohier	lobier	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Ne	ne1	ADVneg	MORPH=empty
faisons	faire	VERcjg	|MODE=con||PERS.=1||NOMB.=p|
mie	mie	ADVneg	MORPH=empty
aussi	aussi	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
mauvais	mauvais	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
ouvrier	ovrier1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
commence	comencier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
si	si	ADVgen	DEGRE=-
tart	tart	ADVgen	NOMB.=s
qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
failent	falir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=p|
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
paier	paiier	VERinf	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
nostre	nostre	DETpos	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
boens	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
vins	vin	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
sera	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
frés	fraindre	VERppe	|NOMB.=s||GENRE=m||CAS=n|
et	et	CONcoo	MORPH=empty
nouvel	novel	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
,	,	PONfbl	MORPH=empty
Donnez	doner	VERppe	NOMB.=p
en	en1	PRE	MORPH=empty
vostre	vostre	PROpos	|PERS.=2||NOMB.=p||GENRE=m||CAS=r|
anmi	enmi	NOMcom	MORPH=empty
,	,	PONfbl	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
i	i2	PROadv	MORPH=empty
ert	estre1	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
boen	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
et	et	CONcoo	MORPH=empty
bel	bel1	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
.	.	PONfrt	MORPH=empty
N’	ne1	ADVneg	MORPH=empty
atendz	atendre	VERcjg	|MODE=imp||TEMPS=pst||PERS.=2||NOMB.=p|
mie	mie	ADVneg	MORPH=empty
tant	tant	ADVgen	DEGRE=-
qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
porrisse	porrir	VERcjg	|MODE=sub||TEMPS=ipf||PERS.=3||NOMB.=s|
ou	o3	CONcoo	MORPH=empty
tounel	tonel	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
Car	car	CONcoo	MORPH=empty
on	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
pert	perdre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
boen	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
vin	vin	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
par	par	PRE	MORPH=empty
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
mauveis	mauvais	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
vaisel	vaissel	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
or	or4	ADVgen	DEGRE=-
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
vaisiaus	vaissel	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
boen	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
vin	vin	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
enpire	empirier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
?	?	PONfrt	MORPH=empty
C’	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
chatis	chaitif	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
de	de	PRE	MORPH=empty
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
trait	traire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
l’	le	PROper	|NOMB.=s||GENRE=f||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
a	a3	PRE	MORPH=empty
martire	martire2	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Se	se	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
voloit	voloir	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
faire	faire	VERinf	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
que	que2	PROrel	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
desirre	desirrer	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
Molt	mout	ADVgen	DEGRE=-
pourriens	porrier2	ADJqua	|NOMB.=p||GENRE=m||CAS=n||DEGRE=p|
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
de	de	PRE	MORPH=empty
ses	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
boens	bon	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
escondire	escondire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
[	[	PONfbl	MORPH=empty
102	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ra	ravoir2	VERcjg	|MODE=ind||PERS.=3||NOMB.=s|
]	]	PONfbl	MORPH=empty
Quantque	cantque	PROrel	|NOMB.=s||GENRE=f||CAS=n|
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
plait	plaire	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
a	a3	PRE	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
contraire	contraire1	ADJqua	NOMB.=s
,	,	PONfbl	MORPH=empty
De	de	PRE	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
que	que2	PROrel	|NOMB.=s||GENRE=n||CAS=r|
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
viaut	voloir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
ne	ne2	CONcoo	MORPH=empty
n’	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
que	que2	PROrel	|NOMB.=s||CAS=r|
faire	faire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
quant	cant1	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
atorne	atorner	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
a	a3	PRE	MORPH=empty
aucun	aucun	PROind	|NOMB.=s||GENRE=m||CAS=r|
bien	bien2	ADVgen	DEGRE=p
faire	faire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Molt	mout	ADVgen	DEGRE=-
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
liez	lié1	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
Nostre	nostre	DETpos	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
Sire	seignor	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
quant	cant1	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
a	a3	PRE	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Lui	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=i|
repaire	repairier	VERcjg	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Grant	grant	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
honour	onor	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
fait	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Diex	dieu	NOMpro	|NOMB.=s||GENRE=m||CAS=n|
l’	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
omme	ome	VERcjg	|NOMB.=s||GENRE=m||CAS=r|
comment	coment1	ADVgen	MORPH=empty
qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
ait	avoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
vescu	vivre1	VERppe	|NOMB.=s||GENRE=m||CAS=r|
Quant	cant1	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
ist	issir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
de	de	PRE	MORPH=empty
pechié	pechié	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
en	en1	PRE	MORPH=empty
sa	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=f||CAS=r|
bone	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
vertu	vertu	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
quant	cant1	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
atent	atendre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
tant	tant	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
mors	mort	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
l’	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
veincu	veintre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
C’	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
mavais	mauvais	ADJqua	|NOMB.=s||GENRE=m||CAS=n|
tounaus	tonel	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
vin	vin	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
perdu	perdre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
y	i2	PROadv	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
meint	maint	DETind	|NOMB.=p||GENRE=m||CAS=r|
enfanz	enfant	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
quant	cant1	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=p||GENRE=m||CAS=n|
sont	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
jovencel	jovencel	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
Si	si	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
veent	vëoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
siecle	siecle	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qu’	que4	CONsub	|NOMB.=s||GENRE=m||CAS=r|
a	a3	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
leur	lor2	DETpos	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
auvel	auvel	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Meitenant	maintenant	ADVgen	DEGRE=-
jeu	jeu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
de	de	PRE	MORPH=empty
dez	de+le	PRE.DETdef	|NOMB.=p||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
tavernes	taverner	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
et	et	CONcoo	MORPH=empty
bordel	borde1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
Cil	cel	PROdem	|NOMB.=p||GENRE=m||CAS=n|
perdent	perdre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
boen	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
vin	vin	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
par	par	PRE	MORPH=empty
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
mauvais	mauvais	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
vaissel	vaissel	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Molt	mout	ADVgen	DEGRE=-
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
bonne	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
poume	pome	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
quant	cant1	CONsub	MORPH=empty
ele	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
sainne	sain	ADJqua	|NOMB.=s||GENRE=f||CAS=n|
et	et	CONcoo	MORPH=empty
dure	dur	ADJqua	|PERS.=3||NOMB.=s||GENRE=f|
Ele	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=n|
vaut	valoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
miex	mieus	ADVgen	DEGRE=c
assez	assez	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
s’	se	CONsub	MORPH=empty
el	il	PROimp	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
trop	trop	ADVgen	DEGRE=-
meure	more4	ADJqua	|NOMB.=s||GENRE=f||CAS=n|
,	,	PONfbl	MORPH=empty
Que	que4	CONsub	MORPH=empty
puis	puis	ADVgen	DEGRE=-
qu’	que4	CONsub	MORPH=empty
ele	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=n|
amolit	amoillir	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
tourne	torner	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
a	a3	PRE	MORPH=empty
pourreture	portraire	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Fors	fors1	ADVgen	DEGRE=-
la	il	PROper	|NOMB.=s||GENRE=f||CAS=r|
covient	covenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
giter	jeter	VERinf	MORPH=empty
por	por2	PRE	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
c’	que4	CONsub	NOMB.=s
on	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
n’	ne1	ADVneg	MORPH=empty
en	en2	PROadv	NOMB.=s
n’	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
cure	cure	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Je	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
voi	vëoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=s|
meinz	moins	DETind	|NOMB.=p||CAS=r|
granz	grant	ADJqua	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
bourjois	borjois	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
meint	maint	DETind	|NOMB.=p||GENRE=m||CAS=r|
grant	grant	ADJqua	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
clerc	clerc	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
riche	riche	ADJqua	|NOMB.=p||GENRE=m||CAS=r||DEGRE=p|
homme	ome	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
Qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
ont	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
tant	tant	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
avoir	avoir	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qu’	que4	CONsub	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
sevent	savoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
somme	some3	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Ja	ja	ADVgen	DEGRE=-
n’	ne1	ADVneg	MORPH=empty
iront	aler	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
Outremer	outrer	VERinf	|GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
n’	ne2	ADVneg	MORPH=empty
a	a3	PRE	MORPH=empty
Seint	saint	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
Jaque	jaudesse	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
n’	ne1	CONcoo	MORPH=empty
a	a3	PRE	MORPH=empty
Rome	rome	NOMpro	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
Cist	cest	PROdem	|NOMB.=s||GENRE=m||CAS=n|
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
laisse	laissier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
pourrir	porrir	VERinf	MORPH=empty
com	come1	CONsub	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
mauvaise	mauvais	ADJqua	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
poume	pome	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Diex	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
!	!	PONfrt	MORPH=empty
Il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
hom	ome	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
famme	feme	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
tant	tant	ADVgen	DEGRE=-
sache	savoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
estre	estre1	VERinf	MORPH=empty
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
deseure	desor	NOMcom	NOMB.=s
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
puisse	pöoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
defendre	defendre	VERinf	MORPH=empty
quant	cant1	CONsub	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
morz	mort	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
seure	sore	ADVgen	DEGRE=-
Por	por2	PRE	MORPH=empty
nient	nïent	PROind	CAS=r
vit	vëoir	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
au	a3+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
siecle	siecle	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
por	por2	PRE	MORPH=empty
Dieu	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
ne	ne2	CONcoo	MORPH=empty
laboure	labor1	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=i|
faurront	falir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
,	,	PONfbl	MORPH=empty
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
garderons	garder	VERcjg	|MODE=ind||TEMPS=fut||PERS.=1||NOMB.=p|
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
eure	ore3	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
a	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
molt	mout	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
ces	ce2	DETdem	|NOMB.=p||GENRE=m||CAS=r|
siecle	siecle	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
peinne	peine	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
et	et	CONcoo	MORPH=empty
triboulement	tribulement	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
Li	il	PROper	|NOMB.=s||GENRE=m||CAS=n|
uns	un	PROind	|NOMB.=s||GENRE=m||CAS=n|
rachate	rachater	VERcjg	|NOMB.=s||GENRE=m||CAS=n|
s’	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
et	et	CONcoo	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
autres	autre	PROind	|NOMB.=s||GENRE=m||CAS=n|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
